,Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,GL,Sisimiut,66.9395,-53.6735,31.71,92,96,2.26,1601424000
1,AU,Hobart,-42.8794,147.3294,59.31,63,95,9.33,1601424000
2,NZ,Bluff,-46.6,168.3333,45.32,90,98,17.47,1601424000
3,AR,Mar del Plata,-38.0023,-57.5575,64.51,58,24,13.96,1601424000
4,ZA,East London,-33.0153,27.9116,59.56,66,96,0.09,1601424000
5,BR,Castro,-24.7911,-50.0119,69.64,81,56,4.14,1601424000
6,ML,Bafoulabé,13.8065,-10.8321,82.09,69,98,0.51,1601424000
7,US,Albany,42.6001,-73.9662,61.0,84,85,5.41,1601424000
8,CA,Hay River,60.8156,-115.7999,49.23,74,87,15.86,1601424000
9,BR,São José da Coroa Grande,-8.8978,-35.1478,75.25,77,5,9.51,1601424000
10,SJ,Longyearbyen,78.2186,15.6401,42.91,82,87,14.54,1601424000
11,BF,Kongoussi,13.3258,-1.5347,85.69,53,30,11.32,1601424000
12,TO,Vaini,-21.2,-175.2,77.4,88,86,17.49,1601424000
13,IS,Husavik,66.0449,-17.3389,44.29,83,60,17.63,1601424000
14,US,Hilo,19.7297,-155.09,81.97,67,12,11.81,1601424000
15,IR,Tabas,33.5959,56.9244,59.02,31,0,0.63,1601424000
16,CN,Jieshi,22.8134,115.8257,79.45,83,91,9.08,1601424000
17,RU,Provideniya,64.3833,-173.3,40.37,73,57,2.04,1601424000
18,US,Jamestown,42.097,-79.2353,55.04,81,59,6.35,1601424000
19,GW,Bubaque,11.2833,-15.8333,82.08,78,58,8.1,1601424000
20,PF,Rikitea,-23.1203,-134.9692,70.39,79,33,20.87,1601424000
21,ZA,George,-33.963,22.4617,49.14,82,5,4.7,1601424000
22,LR,Harper,4.375,-7.7169,76.64,90,41,9.55,1601424000
23,AR,Ushuaia,-54.8,-68.3,33.62,81,82,4.0,1601424000
24,ZA,Bredasdorp,-34.5322,20.0403,46.31,86,1,2.89,1601424000
25,GL,Upernavik,72.7868,-56.1549,23.54,87,67,6.87,1601424000
26,AU,New Norfolk,-42.7826,147.0587,61.27,64,100,6.69,1601424000
27,MN,Ulaangom,49.9811,92.0667,40.48,67,100,3.98,1601424000
28,AU,Carnarvon,-24.8667,113.6333,66.06,69,0,19.44,1601424000
29,US,Juneau,58.3019,-134.4197,51.42,77,95,4.74,1601424000
30,GL,Nanortalik,60.1432,-45.2371,36.27,76,0,20.69,1601424000
31,NZ,Mataura,-46.1927,168.8643,42.98,91,100,6.02,1601424000
32,MU,Bambous Virieux,-20.3428,57.7575,71.89,89,50,11.5,1601424000
33,CL,Punta Arenas,-53.15,-70.9167,35.15,81,51,21.5,1601424000
34,AU,Busselton,-33.65,115.3333,61.43,82,83,10.18,1601424000
35,BR,Caravelas,-17.7125,-39.2481,74.79,83,0,7.78,1601424000
36,CA,Pangnirtung,66.1451,-65.7125,29.84,88,10,3.89,1601424000
37,JP,Nishihara,26.1842,127.7558,78.48,81,66,10.45,1601424000
38,NU,Alofi,-19.0595,-169.9187,79.03,81,75,22.53,1601424000
39,CA,Thompson,55.7435,-97.8558,51.21,74,71,6.73,1601424000
40,RU,Chokurdakh,70.6333,147.9167,41.32,88,71,7.25,1601424000
41,AU,Yulara,-25.2406,130.9889,72.54,58,0,14.16,1601424000
42,KE,Lamu,-2.2717,40.902,76.06,83,42,10.54,1601424000
43,MU,Souillac,-20.5167,57.5167,71.64,88,36,10.89,1601424000
44,NE,Agadez,19.75,10.25,87.78,13,10,10.16,1601424000
45,US,Saint George,37.1041,-113.5841,88.12,9,1,3.69,1601424000
46,RU,Teeli,51.0333,90.2333,36.54,89,100,1.48,1601424000
47,ZA,Hermanus,-34.4187,19.2345,50.95,74,9,4.88,1601424000
48,NZ,Kaitangata,-46.2817,169.8464,44.44,73,60,12.28,1601424000
49,AU,Ulladulla,-35.35,150.4667,64.67,72,100,10.6,1601424000
50,IR,Iranshahr,27.2025,60.6848,76.44,24,0,3.62,1601424000
51,CA,Yellowknife,62.456,-114.3525,44.47,76,86,10.74,1601424000
52,BR,Bonfim,3.0833,-59.95,87.3,52,68,6.15,1601424000
53,GL,Qaanaaq,77.484,-69.3632,14.7,80,1,5.59,1601424000
54,ZA,Cape Town,-33.9258,18.4232,54.55,72,1,9.4,1601424000
55,CA,Iqaluit,63.7506,-68.5145,26.01,77,11,3.4,1601424000
56,GF,Cayenne,4.9333,-52.3333,82.2,76,58,7.9,1601424000
57,RU,Polyarnyye Zori,67.3661,32.4981,44.26,93,47,1.79,1601424000
58,NZ,Tuatapere,-46.1333,167.6833,47.28,81,94,9.06,1601424000
59,KZ,Abay,49.6311,72.8539,36.75,85,0,9.86,1601424000
60,AU,Katherine,-14.4667,132.2667,88.83,54,62,5.17,1601424000
61,CL,Valparaíso,-33.0393,-71.6273,52.59,66,7,0.94,1601424000
62,AU,Port Hedland,-20.3167,118.5667,80.91,35,27,15.97,1601424000
63,PF,Atuona,-9.8,-139.0333,78.73,73,15,17.13,1601424000
64,RU,Nikolskoye,59.7035,30.7861,49.98,94,43,3.06,1601424000
65,CA,Lillooet,50.6856,-121.942,79.45,37,1,2.26,1601424000
66,RU,Khatanga,71.9667,102.5,31.12,99,100,11.97,1601424000
67,US,Oconomowoc,43.1117,-88.4993,53.04,82,83,8.5,1601424000
68,RU,Tiksi,71.6872,128.8694,34.36,96,100,15.66,1601424000
69,GD,Grenville,12.1167,-61.6167,85.71,77,43,15.99,1601424000
70,KM,Mitsamiouli,-11.3847,43.2844,76.6,75,3,4.83,1601424000
71,RE,Saint-Philippe,-21.3585,55.7679,71.35,78,32,6.96,1601424000
72,BR,Passo de Camaragibe,-9.2368,-35.4901,74.08,82,9,4.16,1601424000
73,MU,Quatre Cocos,-20.2078,57.7625,71.62,86,56,11.23,1601424000
74,CA,Saint-Michel-des-Saints,46.6834,-73.9159,57.79,82,100,4.47,1601424000
75,US,Barrow,71.2906,-156.7887,31.89,97,79,8.52,1601424000
76,FO,Klaksvík,62.2266,-6.589,51.08,87,13,29.55,1601424000
77,RU,Tazovsky,67.4667,78.7,37.24,86,94,9.53,1601424000
78,BR,Coari,-4.085,-63.1414,86.74,59,52,3.06,1601424000
79,NC,Vao,-22.6667,167.4833,67.33,75,0,22.3,1601424000
80,CA,Torbay,47.6666,-52.7314,64.18,89,85,14.79,1601424000
81,MG,Beloha,-25.1667,45.05,66.47,94,18,7.09,1601424000
82,US,Palmer,42.1584,-72.3287,69.21,92,91,6.11,1601424000
83,MY,George Town,5.4112,100.3354,78.57,89,53,4.79,1601424000
84,GL,Paamiut,61.994,-49.6678,34.59,76,0,10.4,1601424000
85,MV,Hithadhoo,-0.6,73.0833,83.08,74,74,8.97,1601424000
86,US,Kapaa,22.0752,-159.319,82.87,63,20,7.94,1601424000
87,GF,Sinnamary,5.3833,-52.95,80.71,80,40,7.74,1601424000
88,PF,Faanui,-16.4833,-151.75,78.6,79,4,23.17,1601424000
89,NE,Bilma,18.6853,12.9164,93.09,11,0,8.37,1601424000
90,RU,Severo-Kuril'sk,50.6789,156.125,54.57,80,84,9.44,1601424000
91,AU,Port Lincoln,-34.7333,135.8667,61.07,80,94,20.36,1601424000
92,PT,Ponta Delgada,37.7333,-25.6667,65.28,75,13,9.8,1601424000
93,CA,Grand Valley,43.9001,-80.3164,55.87,78,90,4.14,1601424000
94,SO,Hobyo,5.3505,48.5268,77.14,85,19,16.87,1601424000
95,BR,Cabedelo,-6.9811,-34.8339,76.53,77,35,12.5,1601424000
96,CK,Avarua,-21.2078,-159.775,77.27,78,24,20.07,1601424000
97,PG,Lorengau,-2.0226,147.2712,85.14,74,48,9.82,1601424000
98,AU,Moree,-29.4667,149.85,59.86,63,100,18.95,1601424000
99,CN,Changji,44.0167,87.3167,43.92,54,0,1.9,1601424000
100,ZA,Port Alfred,-33.5906,26.891,56.71,70,55,5.95,1601424000
101,BR,Belmonte,-15.8631,-38.8828,75.65,80,0,8.37,1601424000
102,PH,Lubao,14.9167,120.55,81.46,84,69,1.07,1601424000
103,TH,Takhli,15.2634,100.3438,78.22,93,100,4.59,1601424000
104,JP,Katsuura,35.1333,140.3,70.3,71,75,14.99,1601424000
105,ZA,Port Elizabeth,-33.918,25.5701,54.88,83,31,6.42,1601424000
106,KI,Butaritari,3.0707,172.7902,82.33,75,44,13.67,1601424000
107,PE,Pisco,-13.7,-76.2167,63.93,75,44,5.1,1601424000
108,CN,Ankang,32.68,109.0172,65.12,82,5,2.89,1601424000
109,CA,Tuktoyaktuk,69.4541,-133.0374,37.6,85,52,9.84,1601424000
110,EC,Puerto Ayora,-0.7393,-90.3518,68.61,77,82,10.71,1601424000
111,CA,La Ronge,55.1001,-105.2842,55.78,49,66,14.07,1601424000
112,BA,Goražde,43.6669,18.9764,46.31,91,23,1.83,1601424000
113,US,Kahului,20.8947,-156.47,82.56,61,6,10.47,1601424000
114,US,Meridian,43.6121,-116.3915,80.22,20,1,3.56,1601424000
115,CN,Changli,39.7042,119.1506,57.94,43,3,3.8,1601424000
116,BR,São Gabriel da Cachoeira,-0.1303,-67.0892,81.72,79,87,0.89,1601424000
117,MN,Bulgan,48.8125,103.5347,39.79,68,100,7.09,1601424000
118,CG,Madingou,-4.1536,13.55,77.97,65,97,4.05,1601424000
119,IS,Hofn,64.2539,-15.2082,48.25,92,100,17.92,1601424000
120,BR,Carauari,-4.8828,-66.8958,82.02,75,99,2.3,1601424000
121,CA,Haines Junction,60.7522,-137.5108,46.62,56,83,2.17,1601424000
122,PA,Jaqué,7.5175,-78.1703,80.02,83,86,3.91,1601424000
123,CA,Dawson Creek,55.7666,-120.2362,58.53,35,6,3.6,1601424000
124,RU,Naryan-Mar,67.6713,53.087,44.67,91,85,9.33,1601424000
125,BR,Arraial do Cabo,-22.9661,-42.0278,73.87,90,38,12.26,1601424000
126,US,Saint Paul Harbor,57.79,-152.4072,49.87,80,95,35.97,1601424000
127,ID,Bengkulu,-3.8004,102.2655,76.23,85,90,6.58,1601424000
128,AR,Córdoba,-31.4135,-64.1811,80.15,26,0,10.42,1601424000
129,VE,San Cristobal,7.7669,-72.225,78.85,64,67,4.18,1601424000
130,UY,Chui,-33.6971,-53.4616,55.78,75,25,7.14,1601424000
131,NO,Havøysund,70.9963,24.6622,50.7,88,35,8.99,1601424000
132,CN,Altay,47.8667,88.1167,33.75,86,63,0.38,1601424000
133,UA,Horodnya,51.8909,31.5974,59.34,68,94,12.5,1601424000
134,RU,Kayerkan,69.3497,87.7602,33.42,98,94,11.92,1601424000
135,US,Pahrump,36.2083,-115.9839,91.13,10,0,4.36,1601424000
136,CA,Clyde River,70.4692,-68.5914,26.94,86,60,7.45,1601424000
137,RU,Tashara,55.5195,83.5094,30.67,97,57,3.8,1601424000
138,RU,Sobolevo,54.4299,31.8996,49.12,71,48,8.7,1601424000
139,JP,Muroto-misakicho,33.2833,134.15,73.89,82,87,10.4,1601424000
140,US,Galveston,29.3669,-94.9669,75.94,35,1,9.62,1601424000
141,MA,Safi,32.2994,-9.2372,68.52,88,98,5.68,1601424000
142,RU,Yantal',56.8471,105.2542,34.95,91,100,9.42,1601424000
143,VU,Isangel,-19.55,169.2667,74.32,80,72,18.97,1601424000
144,SK,Dolný Kubín,49.2098,19.3034,49.21,90,94,3.09,1601424000
145,AU,Karratha,-20.7377,116.8463,81.59,30,73,15.86,1601424000
146,RU,Dikson,73.5069,80.5464,35.51,82,100,15.46,1601424000
147,CL,Arica,-18.475,-70.3042,60.51,78,72,1.79,1601424000
148,HK,Hong Kong,22.2855,114.1577,81.1,85,23,11.34,1601424000
149,AU,Alice Springs,-23.7,133.8833,71.04,42,0,16.62,1601424000
150,CL,Lebu,-37.6167,-73.65,50.0,86,83,17.69,1601424000
151,RU,Saskylakh,71.9167,114.0833,26.28,97,14,5.23,1601424000
152,MX,Guerrero Negro,27.9769,-114.0611,91.54,29,0,12.73,1601424000
153,DE,Meiningen,50.5679,10.4152,52.61,94,91,2.08,1601424000
154,GN,Dinguiraye,11.3,-10.7167,73.4,89,88,2.64,1601424000
155,MX,Nuevo Laredo,27.4763,-99.5164,80.46,17,3,7.76,1601424000
156,RU,Tilichiki,60.4667,166.1,40.91,90,100,11.86,1601424000
157,MX,Acapulco de Juárez,16.8634,-99.8901,85.24,73,83,4.14,1601424000
158,IS,Olafsvik,64.8945,-23.7142,40.62,84,86,9.95,1601424000
159,KE,Wajir,1.7471,40.0573,75.58,71,38,14.03,1601424000
160,FR,Saint-Nazaire,47.2833,-2.2,60.66,92,16,9.28,1601424000
161,AE,Abu Dhabi,24.4667,54.3667,88.21,60,0,9.95,1601424000
162,RU,Pevek,69.7008,170.3133,38.62,77,100,19.93,1601424000
163,CA,Gimli,50.6336,-96.9907,59.0,70,83,6.13,1601424000
164,NG,Epe,6.5841,3.9834,74.98,92,92,3.85,1601424000
165,RU,Vostochnyy,55.8167,37.8667,51.78,57,97,8.03,1601424000
166,US,Nānākuli,21.3906,-158.1547,84.81,59,1,4.23,1601424000
167,GL,Tasiilaq,65.6145,-37.6368,30.63,83,100,5.73,1601424000
168,ZW,Gwanda,-20.9333,29.0,66.04,83,66,11.56,1601424000
169,JM,Lucea,18.451,-78.1736,84.74,71,44,3.04,1601424000
170,AI,The Valley,18.217,-63.0578,83.37,90,42,17.45,1601424000
171,AU,Byron Bay,-28.65,153.6167,65.32,73,100,3.18,1601424000
172,MZ,Angoche,-16.2325,39.9086,74.19,89,0,7.2,1601424000
173,PH,Sulat,11.8103,125.4544,82.17,82,100,2.46,1601424000
174,TM,Balkanabat,39.5108,54.3671,56.21,36,0,4.14,1601424000
175,MZ,Quelimane,-17.8786,36.8883,75.83,89,32,6.67,1601424000
176,CA,Norman Wells,65.282,-126.8329,46.13,66,30,6.38,1601424000
177,CA,Banff,51.1762,-115.5698,63.52,56,17,3.4,1601424000
178,SE,Timrå,62.487,17.3257,49.42,92,93,1.21,1601424000
179,IN,Gyānpur,25.35,82.4667,75.67,62,3,4.74,1601424000
180,PY,Ygatimi,-24.0833,-55.5,86.63,47,73,3.89,1601424000
181,PH,Santa Rosa,14.3122,121.1114,82.92,82,59,5.23,1601424000
182,CA,Bridgewater,44.3835,-64.5155,67.17,95,61,8.55,1601424000
183,MX,Cabo San Lucas,22.8909,-109.9124,87.73,66,3,9.53,1601424000
184,GL,Qaqortoq,60.7167,-46.0333,32.43,67,0,6.29,1601424000
185,RU,Kosh-Agach,50.0,88.6667,27.46,86,98,1.92,1601424000
186,EC,Manta,-0.95,-80.7333,73.11,79,51,13.65,1601424000
187,ID,Sampit,-2.5333,112.95,78.42,91,71,2.1,1601424000
188,RU,Verkhnetulomskiy,68.6073,31.7962,44.83,95,14,3.18,1601424000
189,US,Salinas,36.6777,-121.6555,75.38,57,1,5.59,1601424000
190,CN,Gongzhuling,43.5008,124.8198,51.64,69,0,4.07,1601424000
191,CA,Flin Flon,54.7682,-101.865,55.8,57,69,10.96,1601424000
192,MQ,Le Marin,14.4721,-60.8697,83.84,83,90,17.43,1601424000
193,GF,Grand-Santi,4.25,-54.3833,83.28,53,26,3.47,1601424000
194,RU,Khasan,42.4308,130.6434,56.05,69,100,7.72,1601424000
195,CN,Yumen,40.2833,97.2,44.82,57,78,8.77,1601424000
196,RU,Zhigansk,66.7697,123.3711,32.41,93,100,20.45,1601424000
197,NO,Vardø,70.3705,31.1107,50.07,85,20,6.89,1601424000
198,ZA,Saldanha,-33.0117,17.9442,54.81,77,0,16.15,1601424000
199,PT,Ribeira Grande,38.5167,-28.7,66.85,69,1,11.45,1601424000
200,ES,Barcelona,41.3888,2.159,68.05,68,1,3.6,1601424000
201,US,Russell,32.3502,-85.1999,60.6,79,87,2.91,1601424000
202,VU,Sola,-13.8833,167.55,80.29,85,62,22.93,1601424000
203,BS,Marsh Harbour,26.5412,-77.0636,83.77,77,21,11.97,1601424000
204,CD,Kasongo-Lunda,-6.4667,16.8167,72.55,86,100,0.63,1601424000
205,PT,Ponta do Sol,32.6667,-17.1,68.81,72,56,7.18,1601424000
206,CG,Impfondo,1.6381,18.0667,70.25,96,21,1.57,1601424000
207,ZA,Kruisfontein,-34.0033,24.7314,47.32,85,0,5.48,1601424000
208,CI,Grand-Lahou,5.1367,-5.0242,75.92,93,85,8.63,1601424000
209,RU,Severnoye,56.3491,78.3619,33.19,93,30,5.26,1601424000
210,YE,Aden,12.7794,45.0367,84.81,72,4,7.29,1601424000
211,TR,Kula,38.5473,28.6498,63.77,61,0,1.83,1601424000
212,AU,Kununurra,-15.7667,128.7333,87.39,67,85,11.21,1601424000
213,US,Garden City,42.3256,-83.331,60.4,56,95,8.21,1601424000
214,US,Bethel,41.3712,-73.414,68.31,93,93,6.8,1601424000
215,CG,Gamboma,-1.8764,15.8644,73.0,89,90,3.65,1601424000
216,LK,Hambantota,6.1241,81.1185,79.54,89,87,18.19,1601424000
217,CL,Antofagasta,-23.65,-70.4,59.79,74,53,5.61,1601424000
218,US,Fortuna,40.5982,-124.1573,76.82,50,11,3.98,1601424000
219,RU,Batagay,67.6333,134.6333,36.57,78,22,18.5,1601424000
220,BR,Chapada dos Guimarães,-15.4606,-55.7497,93.6,19,42,4.7,1601424000
221,BR,Coruripe,-10.1256,-36.1756,76.15,74,29,10.38,1601424000
222,CL,Coyhaique,-45.5752,-72.0662,40.71,65,27,5.08,1601424000
223,US,Freeport,40.6576,-73.5832,71.33,86,93,13.71,1601424000
224,CA,Athabasca,54.7169,-113.2854,56.52,40,0,11.18,1601424000
225,CA,Bonavista,48.6499,-53.1147,62.47,87,28,17.05,1601424000
226,RU,Vostok,46.4856,135.8833,49.96,88,0,1.86,1601424000
227,RU,Issa,53.8705,44.8578,50.92,63,100,7.49,1601424000
228,RU,Kyra,49.5776,111.9753,38.7,78,95,2.46,1601424000
229,VE,Cantaura,9.3057,-64.3584,80.71,77,54,8.43,1601424000
230,RU,Berdigestyakh,62.0989,126.6992,33.6,93,28,5.32,1601424000
231,GL,Narsaq,60.9167,-46.05,30.69,66,0,5.84,1601424000
232,LT,Švenčionys,55.15,26.1667,48.67,96,2,7.47,1601424000
233,NO,Roald,62.5833,6.1333,52.84,96,100,1.74,1601424000
234,CV,Pombas,17.1503,-25.0201,78.21,73,77,13.18,1601424000
235,CL,Coquimbo,-29.9533,-71.3436,57.24,65,11,3.24,1601424000
236,CN,Wanxian,30.8039,108.3897,66.67,81,88,3.47,1601424000
237,LV,Ilūkste,55.9775,26.2966,47.7,92,16,4.9,1601424000
238,PH,Nieves,15.3274,120.9485,80.49,86,69,1.1,1601424000
239,TM,Kaka,37.3482,59.6143,47.68,48,0,3.38,1601424000
240,VE,Upata,8.0086,-62.3989,79.39,73,88,4.97,1601424000
241,JP,Nara,34.6851,135.8049,74.61,73,70,0.6,1601424000
242,NP,Jumla,29.2747,82.1838,53.37,58,0,4.61,1601424000
243,LR,Monrovia,6.3005,-10.7969,78.28,87,52,10.09,1601424000
244,TR,Kastamonu Province,41.5,33.6667,57.9,82,56,3.58,1601424000
245,ID,Barabai,-2.5833,115.3833,78.75,85,99,0.76,1601424000
246,KE,Marsabit,2.3284,37.9899,66.72,77,19,17.98,1601424000
247,ID,Banda Aceh,5.5577,95.3222,79.18,80,92,4.7,1601424000
248,AU,Geraldton,-28.7667,114.6,60.04,84,20,10.38,1601424000
249,TO,Pangai,-19.8,-174.35,79.59,83,32,20.96,1601424000
250,PH,Catuday,16.2923,119.8062,82.2,76,100,2.08,1601424000
251,AU,Roebourne,-20.7833,117.1333,81.45,26,69,15.08,1601424000
252,GA,Gamba,-2.65,10.0,75.06,77,22,5.66,1601424000
253,AU,Port Keats,-14.25,129.55,87.69,68,4,8.3,1601424000
254,ID,Tarakan,3.3,117.6333,79.11,83,96,6.53,1601424000
255,BR,Amapá,1.0,-52.0,82.96,56,37,4.68,1601424000
256,MU,Grand Gaube,-20.0064,57.6608,72.88,83,95,14.72,1601424000
257,US,Rincon,32.296,-81.2354,66.74,89,91,5.73,1601424000
258,CN,Zhangzhou,24.5133,117.6556,75.09,85,94,4.61,1601424000
259,RU,Beringovskiy,63.05,179.3167,44.13,66,27,1.83,1601424000
260,US,Portland,45.5234,-122.6762,85.23,30,10,1.95,1601424000
261,SL,Bonthe,7.5264,-12.505,77.76,89,99,5.26,1601424000
262,AU,Flinders,-34.5833,150.8552,63.79,69,100,13.04,1601424000
263,MX,Tatahuicapan,18.2333,-94.75,75.04,82,87,5.95,1601424000
264,CD,Kabalo,-6.05,26.9167,71.58,91,98,2.68,1601424000
265,NZ,Ranfurly,-45.1333,170.1,46.15,59,68,9.64,1601424000
266,RU,Pyaozerskiy,65.8333,31.1667,45.18,90,23,3.67,1601424000
267,RU,Zheshart,62.0731,49.5733,46.42,92,100,3.09,1601424000
268,PH,Dingle,10.9995,122.6711,80.04,84,100,1.95,1601424000
269,BF,Ouargaye,11.5033,0.0572,77.76,76,23,8.46,1601424000
270,SA,Faya,18.3851,42.4509,64.26,52,0,0.22,1601424000
271,CV,São Filipe,14.8961,-24.4956,79.77,75,14,10.69,1601424000
272,NO,Båtsfjord,70.6345,29.7185,49.23,83,20,7.2,1601424000
273,AR,Olavarría,-36.8927,-60.3225,63.05,72,6,7.05,1601424000
274,US,Marco,25.9726,-81.729,83.86,76,77,14.12,1601424000
