,Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
275,RU,Cherskiy,68.75,161.3,44.26,66,99,14.74,1601424000
276,BR,Cidreira,-30.1811,-50.2056,63.36,83,63,19.19,1601424000
277,RU,Predivinsk,57.0669,93.4378,27.95,96,0,2.1,1601424000
278,RU,Ust-Kuyga,70.0167,135.6,37.71,88,79,9.95,1601424000
279,TL,Airai,-8.9266,125.4092,73.22,58,100,4.97,1601424000
280,CN,Kumul,42.8,93.45,48.63,46,0,16.17,1601424000
281,CN,Taku,39.0211,117.6469,61.09,70,0,3.33,1601424000
282,NZ,Christchurch,-43.5333,172.6333,49.98,46,0,6.02,1601424000
283,SB,Buala,-8.145,159.5921,85.23,69,59,5.39,1601424000
284,US,Sitka,57.0531,-135.33,53.13,65,95,10.71,1601424000
285,BR,São João da Barra,-21.6403,-41.0511,75.43,84,82,7.76,1601424000
286,US,Kenai,60.5544,-151.2583,51.31,66,35,16.62,1601424000
287,LS,Hlotse,-28.8718,28.045,38.23,71,0,4.45,1601424000
288,CO,Mahates,10.2329,-75.1899,84.69,78,68,5.97,1601424000
289,US,Lebanon,36.2081,-86.2911,61.16,61,38,6.78,1601424000
290,RU,Anadyr,64.75,177.4833,41.58,83,18,9.62,1601424000
291,PG,Kavieng,-2.5744,150.7967,84.09,72,52,5.99,1601424000
292,NO,Fevik,58.3794,8.6766,54.73,94,93,5.23,1601424000
293,JP,Naze,28.3667,129.4833,73.04,89,85,9.48,1601424000
294,AU,Codrington,-38.2667,141.9667,57.29,90,100,15.35,1601424000
295,ID,Sorong,-0.8833,131.25,77.68,85,100,4.05,1601424000
296,MR,Nouadhibou,20.931,-17.0347,73.49,77,0,19.73,1601424000
297,CA,Canmore,51.0834,-115.3521,61.25,50,15,1.01,1601424000
298,TJ,Farkhor,37.4922,69.4036,52.21,80,94,3.31,1601424000
299,ID,Luwuk,-0.9516,122.7875,81.86,73,96,2.3,1601424000
300,RU,Nizhniy Tsasuchey,50.5167,115.1333,44.1,68,0,3.6,1601424000
301,RU,Leningradskiy,69.3833,178.4167,37.85,78,87,7.11,1601424000
302,US,Mayo,38.8876,-76.5119,72.72,92,60,15.08,1601424000
303,TN,Tataouine,32.9297,10.4518,72.99,75,0,5.53,1601424000
304,IN,Āmli,20.2833,73.0167,73.47,85,29,3.27,1601424000
305,IR,Chālūs,36.655,51.4204,67.15,58,72,3.49,1601424000
306,AR,Viedma,-40.8135,-62.9967,62.08,35,54,6.15,1601424000
307,US,Nome,64.5011,-165.4064,41.85,65,87,2.55,1601424000
308,BR,Inhapim,-19.5492,-42.12,80.89,43,47,5.84,1601424000
309,ID,Kabanjahe,3.1001,98.4908,65.28,95,81,0.65,1601424000
310,GF,Iracoubo,5.4802,-53.2011,80.87,80,39,7.78,1601424000
311,CO,La Antigua,6.7153,-76.079,64.76,92,95,3.27,1601424000
312,AR,Orán,-23.1322,-64.326,82.87,27,53,2.28,1601424000
313,JP,Hasaki,35.7333,140.8333,70.11,75,46,17.67,1601424000
314,AU,Bundaberg,-24.85,152.35,71.17,65,26,13.31,1601424000
315,RU,Pelym,61.0108,61.9978,44.47,93,21,5.23,1601424000
316,CN,Dayong,25.0209,118.2898,73.17,86,93,5.17,1601424000
317,CN,Hohhot,40.8106,111.6522,52.84,43,8,5.03,1601424000
318,CN,Simao,22.7886,100.9748,65.61,95,84,1.81,1601424000
319,ML,Kayes,14.0,-11.0,83.01,75,54,1.97,1601424000
320,AR,General Roca,-39.0333,-67.5833,68.5,20,31,16.46,1601424000
321,CA,Port Hawkesbury,45.6169,-61.3485,67.17,91,60,11.18,1601424000
322,RU,Srednekolymsk,67.45,153.6833,44.19,87,91,6.93,1601424000
323,BR,Arraias,-12.9288,-46.9437,87.13,14,0,7.23,1601424000
324,ID,Bima,-8.4667,118.7167,84.85,73,67,5.01,1601424000
325,RU,Okhotsk,59.3833,143.3,47.64,75,100,4.9,1601424000
326,CA,Aklavik,68.2191,-135.0107,43.86,79,78,5.23,1601424000
327,US,Laguna,38.421,-121.4238,99.12,15,1,4.5,1601424000
328,PL,Sokołów Podlaski,52.4068,22.2531,52.02,89,90,11.03,1601424000
329,ZM,Sesheke,-17.4759,24.2968,79.74,35,42,11.14,1601424000
330,AU,Gladstone,-23.85,151.25,72.3,55,0,14.03,1601424000
331,RU,Okha,53.5739,142.9478,50.59,83,96,9.31,1601424000
332,AO,Mossamedes,-15.1961,12.1522,63.34,82,60,8.05,1601424000
333,RU,Balgazyn,51.0,95.2,33.49,89,58,0.72,1601424000
334,AO,Sumbe,-11.2061,13.8437,72.52,84,93,4.29,1601424000
335,ID,Bambanglipuro,-7.95,110.2833,79.48,82,31,6.67,1601424000
336,PE,Santiago de Cao,-7.9589,-79.2392,62.67,83,37,11.48,1601424000
337,MM,Sittwe,20.15,92.9,80.85,87,96,9.13,1601424000
338,MR,Atar,20.5169,-13.0499,92.48,25,0,8.14,1601424000
339,ID,Poso,-1.3959,120.7524,80.51,78,69,4.27,1601424000
340,FR,Hauterive,46.0901,3.4459,49.32,88,70,2.86,1601424000
341,GB,Margate,51.3813,1.3862,56.32,79,28,14.99,1601424000
342,RU,Letnyaya Stavka,45.4306,43.4472,56.44,59,100,20.11,1601424000
343,GA,Omboué,-1.5746,9.2618,75.24,78,45,7.56,1601424000
344,MY,Beaufort,5.3473,115.7455,80.85,81,51,1.7,1601424000
345,RU,Yar-Sale,66.8333,70.8333,40.66,81,98,3.98,1601424000
346,PT,Vila Franca do Campo,37.7167,-25.4333,64.53,77,25,7.52,1601424000
347,TZ,Mugumu,-1.85,34.7,63.97,80,15,3.44,1601424000
348,NO,Vadsø,70.0744,29.7487,49.48,84,20,6.22,1601424000
349,IS,Grindavik,63.8424,-22.4338,44.02,81,20,7.72,1601424000
350,BR,Aquiraz,-3.9014,-38.3911,79.14,78,23,14.34,1601424000
351,US,Fairbanks,64.8378,-147.7164,53.67,70,39,4.47,1601424000
352,IE,Rathangan,53.2214,-6.995,52.72,92,75,20.45,1601424000
353,RU,Aksarka,66.5606,67.7975,42.48,91,88,0.22,1601424000
354,ES,Aras,42.5617,-2.356,53.55,67,0,1.68,1601424000
355,CL,Constitución,-35.3333,-72.4167,52.18,80,95,13.98,1601424000
356,MZ,Cuamba,-14.8031,36.5372,71.65,42,4,7.29,1601424000
357,CN,Shache,38.4167,77.2406,53.94,44,14,6.71,1601424000
358,IN,Diu,20.7141,70.9822,76.68,82,14,7.45,1601424000
359,CF,Berbérati,4.2612,15.7922,68.22,99,100,2.77,1601424000
360,OM,Salalah,17.0151,54.0924,75.92,81,12,3.65,1601424000
361,RU,Mokhsogollokh,61.4681,128.9203,37.02,87,55,5.03,1601424000
362,AU,Rockhampton,-23.3833,150.5,74.97,52,17,12.95,1601424000
363,BR,Salinópolis,-0.6136,-47.3561,80.42,79,10,12.91,1601424000
364,AU,Esperance,-33.8667,121.9,60.57,87,43,14.14,1601424000
365,BR,Borborema,-21.6197,-49.0736,86.94,40,58,11.92,1601424000
366,JP,Fukuechō,32.6881,128.8419,71.62,78,8,15.66,1601424000
367,NP,Khanbari,27.3747,87.2039,68.85,70,14,2.35,1601424000
368,MG,Vangaindrano,-23.35,47.6,66.94,89,10,5.35,1601424000
369,GL,Maniitsoq,65.4167,-52.9,29.57,88,30,7.96,1601424000
370,US,Lompoc,34.6391,-120.4579,76.21,55,1,10.11,1601424000
371,SS,Raja,8.4596,25.678,70.66,91,98,4.72,1601424000
372,RU,Udachny,66.4167,112.4,24.08,97,76,12.06,1601424000
373,AR,Río Gallegos,-51.6226,-69.2181,36.19,70,78,30.0,1601424000
374,NZ,Ahipara,-35.1667,173.1667,57.88,56,66,9.89,1601424000
375,US,Morehead,37.2711,-87.1764,59.0,71,54,6.31,1601424000
376,RU,Lavrentiya,65.5833,-171.0,37.74,77,0,1.77,1601424000
377,IN,Shāhgarh,24.3167,79.1333,73.49,62,14,5.1,1601424000
378,PT,Lata,40.1629,-8.3327,58.14,79,65,1.77,1601424000
379,LY,Mizdah,31.4451,12.9801,68.92,77,1,8.81,1601424000
380,MV,Mahibadhoo,3.7833,72.9667,82.11,77,100,8.68,1601424000
381,BR,Touros,-5.1989,-35.4608,76.39,76,29,13.09,1601424000
382,PL,Golub-Dobrzyń,53.1109,19.0538,55.2,82,100,5.26,1601424000
383,IT,Valle d'Aosta,45.7667,7.4167,39.18,93,66,1.88,1601424000
384,NZ,Masterton,-40.9597,175.6575,53.82,48,3,5.37,1601424000
385,PE,Quilmaná,-12.95,-76.3833,65.34,70,75,4.85,1601424000
386,US,Bowling Green,36.9903,-86.4436,58.91,68,38,5.95,1601424000
387,RU,Kingisepp,59.3733,28.6134,51.94,95,78,4.09,1601424000
388,NO,Skjervøy,70.0311,20.9714,52.38,80,46,9.78,1601424000
389,RU,Vysokogornyy,50.1167,139.15,44.28,86,84,6.73,1601424000
390,NO,Honningsvåg,70.9821,25.9704,51.28,83,37,9.73,1601424000
391,CL,Ancud,-41.8697,-73.8203,37.65,96,95,13.65,1601424000
392,RU,Verkhnevilyuysk,63.4453,120.3167,30.11,94,9,6.35,1601424000
393,ZM,Mporokoso,-9.3727,30.125,62.58,75,95,2.86,1601424000
394,ID,Atambua,-9.1061,124.8925,82.99,67,100,2.19,1601424000
395,RU,Ostrovnoy,68.0531,39.5131,46.99,79,0,18.84,1601424000
396,ZM,Zambezi,-13.5432,23.1047,67.59,80,100,4.34,1601424000
397,BR,Vila Velha,-20.3297,-40.2925,77.58,81,6,6.02,1601424000
398,NA,Opuwo,-18.0607,13.84,60.1,33,90,3.4,1601424000
399,BY,Kobryn,52.2138,24.3564,55.6,86,99,12.17,1601424000
400,RU,Ugra,54.7777,34.3267,47.89,65,77,6.44,1601424000
401,KZ,Balkhash,46.844,74.9804,47.52,65,0,23.58,1601424000
402,NG,Lagos,6.5833,3.75,76.98,90,67,3.91,1601424000
403,VE,San Joaquin,10.263,-67.7858,79.65,76,68,3.89,1601424000
404,MX,Ixtapa,20.7,-105.2,85.77,79,66,1.57,1601424000
405,KY,West Bay,19.3667,-81.4167,86.02,72,20,8.1,1601424000
406,RU,Zelenoborskiy,66.845,32.3622,47.03,90,62,2.13,1601424000
407,BR,Itarema,-2.9248,-39.9167,78.75,76,8,17.0,1601424000
408,ES,Muros,42.7762,-9.0603,60.28,77,0,3.47,1601424000
409,SE,Örnsköldsvik,63.2909,18.7153,49.64,97,90,1.59,1601424000
410,FR,Porto-Vecchio,41.591,9.2795,59.81,78,9,6.76,1601424000
411,NC,Voh,-20.9667,164.7,77.5,57,0,14.16,1601424000
412,RU,Novy Urengoy,66.0833,76.6333,35.4,86,79,9.42,1601424000
413,NA,Lüderitz,-26.6481,15.1594,59.49,50,0,21.25,1601424000
414,US,Avenal,36.0041,-120.129,101.07,14,10,3.65,1601424000
415,US,San Jose,37.3394,-121.895,91.51,34,3,5.3,1601424000
416,SY,Manbij,36.5281,37.9549,78.33,36,0,9.46,1601424000
417,US,Linda,39.1277,-121.5508,100.47,12,1,3.18,1601424000
418,US,Chalmette,29.9427,-89.9634,72.97,45,20,13.89,1601424000
419,NZ,Dunedin,-45.8742,170.5036,45.27,68,81,15.73,1601424000
420,IN,Aligarh,27.8833,78.0833,76.69,33,0,5.48,1601424000
421,PK,Mailsi,29.8003,72.1758,80.74,27,0,8.1,1601424000
422,CA,Havre-St-Pierre,50.2334,-63.5986,61.39,87,5,19.01,1601424000
423,AR,Chacabuco,-34.6417,-60.4739,63.19,69,0,8.52,1601424000
424,BR,Trairi,-3.2778,-39.2689,78.31,78,40,12.71,1601424000
425,CA,Halifax,44.6453,-63.5724,65.98,97,72,10.54,1601424000
426,VN,Son Tay,21.1378,105.505,79.97,89,95,1.66,1601424000
427,SD,Kassala,15.451,36.4,86.94,39,16,13.76,1601424000
428,TM,Bereket,39.2446,55.5154,53.02,40,0,7.96,1601424000
429,US,Great Falls,47.5002,-111.3008,81.03,15,1,11.74,1601424000
430,AU,Nelson Bay,-32.7167,152.15,64.44,67,97,13.02,1601424000
431,ID,Martapura,-3.4167,114.85,79.86,91,95,2.06,1601424000
432,ID,Boyolangu,-8.1181,111.8935,78.22,84,54,5.93,1601424000
433,CI,Bocanda,7.0626,-4.4995,73.8,96,100,5.57,1601424000
434,MX,Miraflores,19.2167,-98.8083,58.82,72,94,5.75,1601424000
435,RU,Tegul'det,57.3064,88.1667,28.63,96,28,2.95,1601424000
436,IN,Sompeta,18.9333,84.6,77.22,93,100,3.67,1601424000
437,KI,Bairiki Village,1.3292,172.9752,82.71,77,82,12.21,1601424000
438,AU,Nhulunbuy,-12.2333,136.7667,82.76,74,60,17.47,1601424000
439,US,Griffith,41.5284,-87.4237,58.15,55,54,8.03,1601424000
440,RU,Zenzeli,45.9241,47.0474,58.48,59,4,13.18,1601424000
441,US,Key West,24.5557,-81.7826,86.11,67,1,6.96,1601424000
442,ID,Padang,-0.9492,100.3543,77.58,72,78,4.59,1601424000
443,MU,Mahébourg,-20.4081,57.7,71.87,86,46,11.59,1601424000
444,EG,Assiut,27.181,31.1837,83.52,39,1,8.77,1601424000
445,CD,Kisangani,0.5167,25.2,70.38,98,100,1.19,1601424000
446,FO,Vestmanna,62.1564,-7.1664,49.26,90,36,17.9,1601424000
447,SD,Abū Zabad,12.35,29.25,79.88,70,88,7.38,1601424000
448,ES,Sant Feliu de Guíxols,41.7833,3.0333,61.25,86,0,2.57,1601424000
449,BR,Maceió,-9.6658,-35.7353,77.45,77,14,10.8,1601424000
450,AU,Charters Towers,-20.1,146.2667,75.81,63,6,14.88,1601424000
451,VN,Kwang Binh,17.4833,106.6,80.6,80,100,8.39,1601424000
452,US,Greenfield,42.9614,-88.0126,54.64,72,84,9.71,1601424000
453,US,Central Point,42.376,-122.9164,94.37,12,1,2.59,1601424000
454,KZ,Derzhavīnsk,51.1,66.3167,52.61,84,73,6.31,1601424000
455,BR,Rosário do Sul,-30.2583,-54.9142,63.05,86,75,6.6,1601424000
456,BR,Andrelândia,-21.7397,-44.3092,71.89,78,56,5.41,1601424000
457,IN,Shiggaon,15.0,75.2333,67.82,96,88,6.4,1601424000
458,US,Pacific Grove,36.6177,-121.9166,65.05,82,5,4.43,1601424000
459,MV,Kudahuvadhoo,2.6708,72.8944,82.49,75,100,9.13,1601424000
460,ID,Banjarmasin,-3.3244,114.591,79.63,91,95,3.31,1601424000
461,PG,Samarai,-10.6167,150.6667,79.43,84,61,16.31,1601424000
462,US,Houma,29.5958,-90.7195,70.79,51,1,8.52,1601424000
463,RU,Kichmengskiy Gorodok,59.9816,45.7854,47.52,90,100,4.65,1601424000
464,CO,Manaure,11.7751,-72.4445,88.27,70,70,13.33,1601424000
465,AU,Hervey Bay,-25.2986,152.8535,69.67,63,1,12.37,1601424000
466,NA,Rehoboth,-23.3167,17.0833,49.3,38,0,3.83,1601424000
467,RU,Goragorskiy,43.5031,45.0792,52.27,81,95,3.33,1601424000
468,CO,Arauca,7.0847,-70.7591,78.49,85,66,2.82,1601424000
469,US,Douglas,41.3,-96.167,75.96,20,20,8.19,1601424000
470,CD,Kambove,-10.8764,26.5969,61.77,84,99,1.57,1601424000
471,US,Broome,42.2506,-75.833,55.35,92,95,3.2,1601424000
472,FR,Plouzané,48.3833,-4.6167,55.11,85,70,6.76,1601424000
473,RU,Narovchat,53.8765,43.6946,51.94,62,100,8.23,1601424000
474,RU,Poltavka,54.3663,71.7632,38.84,74,29,4.05,1601424000
475,YT,Koungou,-12.7336,45.2042,77.27,79,0,10.2,1601424000
476,BR,Quaraí,-30.3875,-56.4514,63.82,84,0,8.61,1601424000
477,RU,Oktyabr'skiy,54.4815,53.471,49.35,86,11,1.59,1601424000
478,LY,Hūn,29.1268,15.9477,78.24,58,0,8.66,1601424000
479,MX,San Patricio,19.2167,-104.7,87.91,70,52,8.03,1601424000
480,PF,Tautira,-17.7333,-149.15,82.26,70,25,22.95,1601424000
481,ZA,Port Shepstone,-30.7414,30.455,60.28,67,72,6.33,1601424000
482,CA,Moose Factory,51.2585,-80.6094,50.31,94,87,4.97,1601424000
483,CN,Kaihua,23.3687,104.28,67.82,92,98,2.59,1601424000
484,AU,Yeppoon,-23.1333,150.7333,71.62,59,22,15.35,1601424000
485,IN,Badhni Kalān,30.6833,75.2833,72.37,26,0,4.21,1601424000
486,RU,Vanavara,60.34,102.2797,26.58,95,0,3.94,1601424000
487,US,Suffolk,40.8668,-72.7996,70.9,85,93,11.7,1601424000
488,LY,Jalu,29.0331,21.5482,84.07,29,0,11.16,1601424000
489,RU,Esso,55.9333,158.7,42.17,83,100,2.75,1601424000
490,CF,Kouango,4.9934,19.9619,70.74,93,98,0.76,1601424000
491,BR,Dona Inês,-6.6167,-35.6333,67.8,87,12,9.55,1601424000
492,SE,Luleå,65.5842,22.1547,49.35,95,81,4.09,1601424000
493,IN,Tirur,10.9,75.9167,76.48,89,69,3.65,1601424000
494,AZ,Neftçala,39.3742,49.2472,67.17,62,22,10.83,1601424000
495,ZM,Mwinilunga,-11.7358,24.4293,64.94,71,100,1.1,1601424000
496,MX,Tomatlán,19.9333,-105.25,85.69,70,49,3.51,1601424000
497,NZ,Waipawa,-41.4122,175.5153,49.71,54,1,7.11,1601424000
498,MG,Ambilobe,-13.2,49.05,70.59,91,8,2.33,1601424000
499,BO,Quime,-16.9833,-67.2167,54.05,66,83,3.38,1601424000
500,PH,Manuk Mangkaw,4.8,119.85,83.21,71,100,4.83,1601424000
501,BR,Morros,-9.4467,-46.3003,88.57,23,71,4.65,1601424000
502,MY,Klang,3.0333,101.45,78.37,85,40,3.49,1601424000
503,RU,Namtsy,62.7161,129.6658,35.37,84,0,8.14,1601424000
504,GE,Makhinjauri,41.6739,41.694,73.26,52,73,7.85,1601424000
505,NZ,Te Anau,-45.4167,167.7167,43.09,84,43,2.55,1601424000
506,IN,Tura,25.5198,90.2201,73.65,88,63,3.18,1601424000
507,JM,Morant Bay,17.8815,-76.4093,84.04,71,65,9.82,1601424000
508,AR,Morón,-34.6534,-58.6198,68.72,45,0,6.02,1601424000
509,MA,Marrakesh,31.6315,-8.0083,72.63,56,23,1.36,1601424000
510,PG,Kiunga,-6.1219,141.2906,78.19,91,98,5.55,1601424000
511,CM,Foumban,5.7291,10.9001,61.36,100,98,1.61,1601424000
512,SO,Bandarbeyla,9.4942,50.8122,77.83,80,75,19.66,1601424000
513,ID,Amahai,-3.3333,128.9167,81.75,81,95,1.41,1601424000
514,UG,Moroto,2.5345,34.6666,71.87,60,61,0.49,1601424000
515,GM,Gunjur,13.2019,-16.7339,81.9,89,15,9.22,1601424000
516,BR,Tarauacá,-8.1614,-70.7656,80.96,73,65,3.2,1601424000
517,GL,Ilulissat,69.2167,-51.1,21.87,78,60,3.6,1601424000
518,NO,Berlevåg,70.8578,29.0864,50.2,82,24,10.83,1601424000
519,RO,Asău,46.4333,26.4,53.08,81,100,10.45,1601424000
520,RU,Belaya Gora,68.5333,146.4167,45.82,82,73,7.02,1601424000
521,SS,Yei,4.095,30.6779,66.43,96,72,3.91,1601424000
522,GH,Takoradze,4.8845,-1.7554,76.26,92,93,10.29,1601424000
523,NG,Bara,10.3744,10.7288,71.01,93,53,5.53,1601424000
524,ID,Bontang,0.1333,117.5,80.65,82,40,1.41,1601424000
525,PT,Lagoa,39.05,-27.9833,66.69,68,80,8.57,1601424000
526,HR,Pula,44.8683,13.8481,59.85,76,4,2.86,1601424000
527,VN,Can Tho,10.0333,105.7833,78.62,89,99,5.88,1601424000
528,CL,Taltal,-25.4,-70.4833,60.6,66,20,6.89,1601424000
529,GY,Mabaruma,8.2,-59.7833,80.15,80,63,4.61,1601424000
530,PG,Namatanai,-3.6667,152.4333,84.78,73,64,4.97,1601424000
531,AR,San Rafael,-34.6177,-68.3301,71.06,21,0,6.11,1601424000
532,CO,Uribia,11.7139,-72.266,90.07,54,62,16.08,1601424000
533,RU,Omsukchan,62.5333,155.8,38.03,82,100,5.01,1601424000
534,US,North Las Vegas,36.1989,-115.1175,91.47,9,1,1.99,1601424000
535,IN,Along,28.1667,94.7667,70.05,88,51,1.36,1601424000
536,RU,Deputatsky,69.3,139.9,36.68,90,93,4.27,1601424000
537,IN,Dhārchula,29.85,80.5333,61.3,48,0,4.25,1601424000
538,BR,Rio Brilhante,-21.8019,-54.5464,88.12,34,51,1.45,1601424000
539,IN,Leh,34.1667,77.5833,40.26,52,0,3.11,1601424000
540,MX,Lázaro Cárdenas,17.9583,-102.2,82.89,78,53,3.98,1601424000
541,KZ,Atbasar,51.8,68.3333,45.32,68,69,5.99,1601424000
542,RU,Ubinskoye,55.3068,79.6802,32.43,95,32,4.0,1601424000
543,BW,Tsabong,-26.0217,22.401,54.36,27,0,6.8,1601424000
544,SY,Idlib,35.9306,36.6339,76.37,61,0,5.12,1601424000
545,TN,Ben Gardane,33.1378,11.2197,75.87,72,0,7.47,1601424000
546,MX,Naica,27.85,-105.4833,74.03,20,0,4.63,1601424000
547,SB,Gizo Government Station,-8.103,156.8419,83.37,75,56,9.33,1601424000
548,DE,Neufahrn,48.25,12.4333,49.98,93,97,5.01,1601424000
549,RU,Ust-Nera,64.5667,143.2,42.01,70,94,8.25,1601424000
550,PE,San Isidro,-12.1167,-77.05,63.7,75,52,9.78,1601424000
551,BB,Bathsheba,13.2167,-59.5167,83.01,83,58,17.78,1601424000
552,KG,At-Bashi,41.1702,75.8106,44.62,57,96,3.47,1601424000
